0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.0206230003,0.0192296002,0.0192332994,1550330.0,0.0013934001000000008,-0.0013897008999999988,0.020161766533333333,0.0008056291971249416,0.0243168008,0.0188279003,1155358.6666666667,1836948.2857142857,0.0205760002,0.0206501,0.0205121003,0.02041213958,0.02121190969,0.02029801954558757
0.0192443002,0.0187554006,0.0187650993,558120.0,0.0005320998999999993,-0.0004792009000000007,0.019524799633333336,0.0009399839397193162,0.0221421998,0.0188279003,1066916.6666666667,1373678.2857142857,0.0192332994,0.0206230003,0.0192296002,0.020018739600000002,0.02064940966,0.019787046130391714
0.0187817998,0.0184343997,0.0184343997,560642.0,0.0004182011000000013,-0.00034740009999999905,0.0188109328,0.0004014171333621832,0.0209165998,0.0187554006,889697.3333333334,1017780.0,0.0187650993,0.0192443002,0.0187554006,0.01953695972,0.02006099968,0.01933616398692781
0.0184278991,0.0155988997,0.0156479999,3113440.0,0.0051696012,-0.002779899199999998,0.017615832966666665,0.0017121961891267275,0.0209165998,0.0184343997,1410734.0,1212248.5714285714,0.0184343997,0.0187817998,0.0184343997,0.0185313597,0.01941520961,0.018106775957951876
0.0156113002,0.0141126998,0.0142325005,1886420.0,0.008222300500000002,-0.0013787997000000007,0.016104966699999997,0.0021378969137839233,0.0209165998,0.0155988997,1853500.6666666667,1369242.5714285714,0.0156479999,0.0184278991,0.0155988997,0.01726265976,0.01894566965,0.016815350805301253
0.0142043997,0.0142043997,0.0164442006,2285810.0,0.002331299699999999,0.0022398009,0.015441566999999998,0.0011202076770567098,0.0223350003,0.0141126998,2428556.6666666665,1578151.7142857143,0.0142325005,0.0156113002,0.0141126998,0.01670484,0.01855848979,0.016691634070200835
0.0164493006,0.0163605995,0.0164030008,1651550.0,0.0007333011,-4.629979999999992e-05,0.015693233966666668,0.001265200004489411,0.0223350003,0.0141126998,1941260.0,1658044.5714285714,0.0164442006,0.0142043997,0.0142043997,0.0162324203,0.01812557995,0.016595422980133893
0.0163931008,0.0153612001,0.0153614003,737736.0,0.0010402007000000005,-0.0010317005000000014,0.0160695339,0.0006136075720415407,0.0223350003,0.0141126998,1558365.3333333333,1541959.7142857143,0.0164030008,0.0164493006,0.0163605995,0.015617820420000001,0.017577390069999997,0.01618408208675593
0.0153860003,0.0150915999,0.0156222004,1170730.0,0.000714199599999998,0.00023620010000000025,0.015795533833333333,0.0005420020846208837,0.0223350003,0.0141126998,1186672.0,1629475.4285714286,0.0153614003,0.0163931008,0.0153612001,0.015612660519999998,0.01707201011,0.015996788191170622
0.0156567991,0.0156512,0.0159907006,1093540.0,0.00036589979999999966,0.00033390150000000077,0.015658100433333332,0.00031618242549199437,0.0223350003,0.0141126998,1000668.6666666666,1705603.7142857143,0.0156222004,0.0153860003,0.0150915999,0.015964300539999997,0.016613480150000002,0.01599475899411375
0.0159467999,0.0158503,0.0161119998,1029700.0,0.0002634002999999975,0.00016519989999999943,0.015908300266666665,0.00025508473937136257,0.0223350003,0.0141126998,1097990.0,1407926.5714285714,0.0159907006,0.0156567991,0.0156512,0.01589786038,0.01630135019,0.016033839262742502
0.0161076002,0.0161076002,0.0166529994,1141990.0,0.0006098001999999998,0.0005453992000000012,0.01625189993333333,0.000352617300483633,0.0223350003,0.0141126998,1088410.0,1301579.4285714286,0.0161119998,0.0159467999,0.0158503,0.0159478601,0.0160901402,0.01624022597516167
0.0167001002,0.0166711006,0.0170099009,1105630.0,0.00037069990000000025,0.0003098006999999979,0.016591633366666664,0.00045208510136986895,0.0170939006,0.0142043997,1092440.0,1132982.2857142857,0.0166529994,0.0161076002,0.0161076002,0.01627756022,0.01594769032,0.016496784283441115
